"filename", "language", "PHP", "Markdown", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\README.md", "Markdown", 0, 11, 0, 0, 0, 0, 6, 17
"d:\AppData\Apache\local\phpend\api\v1\base\api.php", "PHP", 46, 0, 0, 0, 0, 40, 41, 127
"d:\AppData\Apache\local\phpend\api\v1\base\backend.php", "PHP", 96, 0, 0, 0, 0, 88, 19, 203
"d:\AppData\Apache\local\phpend\api\v1\base\config.php", "PHP", 24, 0, 0, 0, 0, 46, 18, 88
"d:\AppData\Apache\local\phpend\api\v1\base\datalayer.php", "PHP", 265, 0, 0, 0, 0, 231, 71, 567
"d:\AppData\Apache\local\phpend\api\v1\base\handlers.php", "PHP", 205, 0, 0, 0, 0, 192, 81, 478
"d:\AppData\Apache\local\phpend\api\v1\composer.json", "JSON", 0, 0, 0, 0, 7, 0, 1, 8
"d:\AppData\Apache\local\phpend\api\v1\composer.lock", "JSON", 0, 0, 0, 0, 279, 0, 1, 280
"d:\AppData\Apache\local\phpend\api\v1\devnotes.md", "Markdown", 0, 77, 0, 0, 0, 0, 32, 109
"d:\AppData\Apache\local\phpend\api\v1\extend\api.php", "PHP", 10, 0, 0, 0, 0, 11, 6, 27
"d:\AppData\Apache\local\phpend\api\v1\extend\backend.php", "PHP", 4, 0, 0, 0, 0, 0, 2, 6
"d:\AppData\Apache\local\phpend\api\v1\extend\config.php", "PHP", 2, 0, 0, 0, 0, 6, 3, 11
"d:\AppData\Apache\local\phpend\api\v1\extend\datalayer.php", "PHP", 4, 0, 0, 0, 0, 10, 4, 18
"d:\AppData\Apache\local\phpend\api\v1\extend\handlers.php", "PHP", 12, 0, 0, 0, 0, 34, 7, 53
"d:\AppData\Apache\local\phpend\api\v1\include\auth.php", "PHP", 118, 0, 0, 0, 0, 43, 39, 200
"d:\AppData\Apache\local\phpend\api\v1\include\error.php", "PHP", 30, 0, 0, 0, 0, 18, 14, 62
"d:\AppData\Apache\local\phpend\api\v1\include\guard.php", "PHP", 46, 0, 0, 0, 0, 33, 26, 105
"d:\AppData\Apache\local\phpend\api\v1\include\util.php", "PHP", 65, 0, 0, 0, 0, 42, 25, 132
"d:\AppData\Apache\local\phpend\api\v1\index.php", "PHP", 77, 0, 0, 0, 0, 13, 37, 127
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 235, 59, 580
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 0, 0, 133, 49, 360
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 1, 4, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_files.php", "PHP", 6, 0, 0, 0, 0, 1, 4, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 1, 4, 10
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_psr4.php", "PHP", 9, 0, 0, 0, 0, 1, 4, 14
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_real.php", "PHP", 35, 0, 0, 0, 0, 4, 12, 51
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_static.php", "PHP", 49, 0, 0, 0, 0, 1, 9, 59
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\installed.json", "JSON", 0, 0, 0, 0, 276, 0, 1, 277
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\installed.php", "PHP", 59, 0, 0, 0, 0, 0, 1, 60
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 1, 5, 27
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\db\DBPDOHelpers.php", "PHP", 43, 0, 0, 0, 0, 12, 5, 60
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\exception\CodedErrorException.php", "PHP", 11, 0, 0, 0, 0, 7, 7, 25
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\exception\InvalidStateException.php", "PHP", 6, 0, 0, 0, 0, 9, 6, 21
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\http\HTTPHelpers.php", "PHP", 17, 0, 0, 0, 0, 11, 10, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\http\json\JSONHTTPHelpers.php", "PHP", 10, 0, 0, 0, 0, 7, 6, 23
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\jwt\JWTHelpers.php", "PHP", 41, 0, 0, 0, 0, 9, 16, 66
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\mail\MailHelpers.php", "PHP", 34, 0, 0, 0, 0, 4, 11, 49
"d:\AppData\Apache\local\phpend\reset\include\main.js", "JavaScript", 0, 0, 0, 39, 0, 1, 5, 45
"d:\AppData\Apache\local\phpend\reset\index.html", "HTML", 0, 0, 19, 0, 0, 4, 16, 39
"d:\AppData\Apache\local\phpend\verify\include\main.js", "JavaScript", 0, 0, 0, 40, 0, 0, 7, 47
"d:\AppData\Apache\local\phpend\verify\index.html", "HTML", 0, 0, 15, 0, 0, 4, 15, 34
"Total", "-", 1820, 88, 34, 79, 562, 1253, 689, 4525